epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,2101.55,0.57532,1.13654,0.3908,0.95001,0.99772,1,0.995,0.92753,0.99772,1,0.995,0.79854,0.39841,0.98636,0.2464,0.89263,0.001208,0.001208,0.001208
42,2152.79,0.58523,1.13239,0.3862,0.94644,0.9991,1,0.995,0.91253,0.9991,1,0.995,0.77974,0.40417,1.02763,0.25187,0.89111,0.0011882,0.0011882,0.0011882
43,2203.93,0.60325,1.22338,0.39484,0.95874,0.99892,1,0.995,0.92717,0.99892,1,0.995,0.80032,0.41421,1.03333,0.23641,0.90804,0.0011684,0.0011684,0.0011684
44,2254.96,0.56882,1.16105,0.3822,0.94298,0.99865,1,0.995,0.90515,0.99865,1,0.995,0.79727,0.41323,1.02598,0.25373,0.88705,0.0011486,0.0011486,0.0011486
45,2306.44,0.56007,1.1585,0.37083,0.93195,0.99906,1,0.995,0.90263,0.99906,1,0.995,0.79358,0.41854,0.99556,0.26472,0.89402,0.0011288,0.0011288,0.0011288
46,2357.97,0.53818,1.07232,0.35398,0.92748,0.999,1,0.995,0.91419,0.999,1,0.995,0.79563,0.43152,1.00519,0.26456,0.90411,0.001109,0.001109,0.001109
47,2408.43,0.5545,1.11429,0.36969,0.93671,0.99904,1,0.995,0.93368,0.99904,1,0.995,0.8095,0.40297,1.02259,0.23637,0.90127,0.0010892,0.0010892,0.0010892
48,2459.89,0.5585,1.1476,0.37047,0.94864,0.99905,1,0.995,0.92664,0.99905,1,0.995,0.81822,0.38489,0.97094,0.23125,0.89333,0.0010694,0.0010694,0.0010694
49,2509.82,0.53446,1.09354,0.35002,0.92192,0.99911,1,0.995,0.91812,0.99911,1,0.995,0.80694,0.40965,0.98371,0.24465,0.90166,0.0010496,0.0010496,0.0010496
50,2560.98,0.54516,1.09862,0.34899,0.92294,0.99904,1,0.995,0.9278,0.99904,1,0.995,0.82127,0.40292,0.97915,0.24366,0.90222,0.0010298,0.0010298,0.0010298
51,2611.1,0.54906,1.09619,0.35707,0.93717,0.99917,1,0.995,0.90793,0.99917,1,0.995,0.78483,0.3908,0.99486,0.23456,0.89732,0.00101,0.00101,0.00101
52,2661.65,0.51,1.09315,0.34085,0.92401,0.99904,1,0.995,0.94589,0.99904,1,0.995,0.81609,0.35336,0.96393,0.2198,0.88012,0.0009902,0.0009902,0.0009902
53,2712.84,0.53587,1.07082,0.34814,0.92131,0.99873,1,0.995,0.93127,0.99873,1,0.995,0.8101,0.37951,0.95871,0.23256,0.882,0.0009704,0.0009704,0.0009704
54,2762.31,0.5086,1.05172,0.32932,0.91951,0.99911,1,0.995,0.93583,0.99911,1,0.995,0.82014,0.38199,0.93763,0.23132,0.89481,0.0009506,0.0009506,0.0009506
